Notikuma identifikators;Vērtība;Lauka nosaukums
220448853;NEPĀRLIECINĀŠANĀS PAR CEĻU SATIKSMES DROŠĪBU (NEUZMANĪBA);Iemesls
220685387;CITS IEMESLS;Iemesls
220383344;NEPĀRLIECINĀŠANĀS PAR CEĻU SATIKSMES DROŠĪBU (NEUZMANĪBA);Iemesls
220405511;CITS IEMESLS;Iemesls
220613368;CITS IEMESLS;Iemesls
220590948;CITS IEMESLS;Iemesls
220697028;CITS IEMESLS;Iemesls
220471345;CITS IEMESLS;Iemesls
220401933;NEPĀRLIECINĀŠANĀS PAR CEĻU SATIKSMES DROŠĪBU (NEUZMANĪBA);Iemesls
220564574;NEPAREIZA ĀTRUMA IZVĒLE;Iemesls
220462035;NEPĀRLIECINĀŠANĀS PAR CEĻU SATIKSMES DROŠĪBU (NEUZMANĪBA);Iemesls
220672893;CITS IEMESLS;Iemesls
220699177;NEPĀRLIECINĀŠANĀS PAR CEĻU SATIKSMES DROŠĪBU (NEUZMANĪBA);Iemesls
220585541;MANEVRĒŠANAS NOT. NEIEVĒROŠANA (BRAUKŠANAS SĀKŠANA, PĀRKĀRTOŠANĀS, NOGRIEŠANĀS, APDZĪŠANA U.TML.);Iemesls
220662949;CITS IEMESLS;Iemesls
220672294;NEPĀRLIECINĀŠANĀS PAR CEĻU SATIKSMES DROŠĪBU (NEUZMANĪBA);Iemesls
220447040;CITS IEMESLS;Iemesls
220676751;DROŠAS DISTANCES NEIEVĒROŠANA;Iemesls
220431001;CITS IEMESLS;Iemesls
220688556;NEPĀRLIECINĀŠANĀS PAR CEĻU SATIKSMES DROŠĪBU (NEUZMANĪBA);Iemesls
220431758;NEPĀRLIECINĀŠANĀS PAR CEĻU SATIKSMES DROŠĪBU (NEUZMANĪBA);Iemesls
220440227;CITS IEMESLS;Iemesls
220489263;NEPAREIZA ĀTRUMA IZVĒLE;Iemesls
220609995;MANEVRĒŠANAS NOT. NEIEVĒROŠANA (BRAUKŠANAS SĀKŠANA, PĀRKĀRTOŠANĀS, NOGRIEŠANĀS, APDZĪŠANA U.TML.);Iemesls
220452902;CITS IEMESLS;Iemesls
220377458;CITS IEMESLS;Iemesls
220444439;REGULĒJAMA KRUSTOJUMA IZBRAUKŠANAS NOLIEGUMU NEIEVĒROŠANA (LUKSOFORS, PRIEKŠROKA, CEĻAZĪMES U.TML.);Iemesls
220426996;CITS IEMESLS;Iemesls
220488016;NEPAREIZA ĀTRUMA IZVĒLE;Iemesls
220548745;CITS IEMESLS;Iemesls
220407181;REGULĒJAMA KRUSTOJUMA IZBRAUKŠANAS NOLIEGUMU NEIEVĒROŠANA (LUKSOFORS, PRIEKŠROKA, CEĻAZĪMES U.TML.);Iemesls
220581820;CITS IEMESLS;Iemesls
220433103;CITS IEMESLS;Iemesls
220588740;CITS IEMESLS;Iemesls
220503998;CITS IEMESLS;Iemesls
220556491;NEPĀRLIECINĀŠANĀS PAR CEĻU SATIKSMES DROŠĪBU (NEUZMANĪBA);Iemesls
220641724;CITS IEMESLS;Iemesls
220640258;DROŠA INTERVĀLA NEIEVĒROŠANA;Iemesls
220675824;DROŠAS DISTANCES NEIEVĒROŠANA;Iemesls
220507332;NEPĀRLIECINĀŠANĀS PAR CEĻU SATIKSMES DROŠĪBU (NEUZMANĪBA);Iemesls
220506541;CITS IEMESLS;Iemesls
220443387;NEPĀRLIECINĀŠANĀS PAR CEĻU SATIKSMES DROŠĪBU (NEUZMANĪBA);Iemesls
